user_id,pred_date
13227,2017-09-09
11997,2017-09-10
22524,2017-09-07
73963,2017-09-10
91702,2017-09-09
64997,2017-09-10
8112,2017-09-09
84464,2017-09-07
72329,2017-09-08
85473,2017-09-08
43091,2017-09-08
23119,2017-09-11
84503,2017-09-09
41348,2017-09-10
11725,2017-09-07
35643,2017-09-12
72637,2017-09-14
20407,2017-09-08
47810,2017-09-09
23047,2017-09-09
26946,2017-09-11
5268,2017-09-07
89301,2017-09-07
89951,2017-09-11
63292,2017-09-11
24253,2017-09-11
77332,2017-09-10
40585,2017-09-11
43345,2017-09-08
13068,2017-09-12
66447,2017-09-06
45614,2017-09-10
87217,2017-09-10
6810,2017-09-08
17760,2017-09-10
55394,2017-09-11
8799,2017-09-09
94917,2017-09-10
94105,2017-09-08
35326,2017-09-13
52984,2017-09-11
29901,2017-09-10
41962,2017-09-08
26719,2017-09-10
5336,2017-09-08
82037,2017-09-09
55810,2017-09-09
90921,2017-09-11
79120,2017-09-12
47346,2017-09-10
7088,2017-09-15
44442,2017-09-11
48609,2017-09-10
72273,2017-09-11
86507,2017-09-10
39740,2017-09-08
5013,2017-09-11
23606,2017-09-10
70548,2017-09-12
97131,2017-09-12
58276,2017-09-13
87447,2017-09-13
37481,2017-09-13
61721,2017-09-13
88425,2017-09-07
13372,2017-09-13
70466,2017-09-10
74127,2017-09-10
69406,2017-09-07
40318,2017-09-08
96451,2017-09-16
36336,2017-09-11
18845,2017-09-13
36413,2017-09-07
37269,2017-09-07
47420,2017-09-13
60282,2017-09-09
42731,2017-09-11
38874,2017-09-06
36046,2017-09-15
58809,2017-09-12
74003,2017-09-07
98122,2017-09-13
71415,2017-09-08
52679,2017-09-14
63533,2017-09-13
70652,2017-09-10
98527,2017-09-10
25512,2017-09-09
69388,2017-09-08
56886,2017-09-07
58895,2017-09-07
23408,2017-09-09
99032,2017-09-11
45066,2017-09-07
24353,2017-09-07
40810,2017-09-07
77314,2017-09-11
98000,2017-09-06
45337,2017-09-10
40095,2017-09-08
50722,2017-09-10
93934,2017-09-08
10096,2017-09-10
38414,2017-09-06
35762,2017-09-07
23519,2017-09-11
83060,2017-09-09
90191,2017-09-07
19273,2017-09-11
83858,2017-09-07
23387,2017-09-08
4361,2017-09-09
83014,2017-09-08
80625,2017-09-11
72026,2017-09-07
66650,2017-09-12
12701,2017-09-09
88320,2017-09-10
82076,2017-09-07
75754,2017-09-08
63790,2017-09-08
4928,2017-09-08
3566,2017-09-14
75948,2017-09-10
94335,2017-09-07
88303,2017-09-07
25682,2017-09-14
25550,2017-09-12
96854,2017-09-14
31987,2017-09-08
68581,2017-09-09
38028,2017-09-07
84365,2017-09-09
56944,2017-09-08
6962,2017-09-12
39104,2017-09-12
62236,2017-09-07
46444,2017-09-07
32668,2017-09-08
63763,2017-09-14
7996,2017-09-08
15311,2017-09-10
51903,2017-09-07
39059,2017-09-09
63784,2017-09-10
76830,2017-09-10
91891,2017-09-12
85000,2017-09-07
53805,2017-09-12
37640,2017-09-07
96873,2017-09-09
30431,2017-09-09
5868,2017-09-07
69078,2017-09-09
34389,2017-09-14
79556,2017-09-08
8501,2017-09-08
51060,2017-09-07
10135,2017-09-10
31861,2017-09-06
24021,2017-09-12
6628,2017-09-08
44513,2017-09-13
38237,2017-09-10
87034,2017-09-09
57756,2017-09-10
